destination,month,airline,average_price_naira,booking_window_weeks
USA,June,Air India,1731955,5
USA,June,Brussels Airlines,2034174,8
USA,June,Swiss Air,1698470,1
USA,June,Finnair,1922589,10
USA,June,Austrian Airlines,1719350,9
USA,July,Emirates,2500876,9
USA,July,Qatar Airways,2578404,2
USA,July,Turkish Airlines,2461735,11
USA,July,British Airways,2708956,10
USA,July,Lufthansa,2683921,7
USA,July,Air France,2270883,6
USA,July,KLM,2600449,2
USA,July,Delta Airlines,2418391,11
USA,July,United Airlines,3085201,4
USA,July,Virgin Atlantic,2642976,12
USA,July,Ethiopian Airlines,2516886,9
USA,July,Kenya Airways,2603471,10
USA,July,RwandAir,2382365,6
USA,July,South African Airways,2965830,9
USA,July,Air Canada,2960438,8
USA,July,Singapore Airlines,2474377,9
USA,July,Etihad Airways,2769491,10
USA,July,Saudi Airlines,2690397,12
USA,July,EgyptAir,2495897,12
USA,July,Royal Air Maroc,2355773,7
USA,July,American Airlines,2295235,3
USA,July,Cathay Pacific,2889757,6
USA,July,Japan Airlines,2224891,7
USA,July,Malaysia Airlines,2229252,9
USA,July,Thai Airways,2716808,7
USA,July,Air India,2758140,9
USA,July,Brussels Airlines,2659907,11
USA,July,Swiss Air,2393573,11
USA,July,Finnair,2654920,1
USA,July,Austrian Airlines,2172334,9
USA,August,Emirates,2526732,4
USA,August,Qatar Airways,3106054,9
USA,August,Turkish Airlines,2386332,11
USA,August,British Airways,2352952,5
USA,August,Lufthansa,2443255,5
USA,August,Air France,2812391,3
USA,August,KLM,2694606,8
USA,August,Delta Airlines,2144415,2
USA,August,United Airlines,2778007,6
USA,August,Virgin Atlantic,2380192,2
USA,August,Ethiopian Airlines,2307483,6
USA,August,Kenya Airways,2771600,2
USA,August,RwandAir,2664928,12
USA,August,South African Airways,2453486,8
USA,August,Air Canada,2545530,11
USA,August,Singapore Airlines,2580073,1
USA,August,Etihad Airways,2604685,5
USA,August,Saudi Airlines,2032088,12
USA,August,EgyptAir,2178276,1
USA,August,Royal Air Maroc,2574053,3
USA,August,American Airlines,2696015,6
USA,August,Cathay Pacific,2059236,9
USA,August,Japan Airlines,2216466,8
USA,August,Malaysia Airlines,2570255,8
USA,August,Thai Airways,2720176,6
USA,August,Air India,2464162,4
USA,August,Brussels Airlines,2107126,1
USA,August,Swiss Air,2458506,10
USA,August,Finnair,2603658,4
USA,August,Austrian Airlines,3173752,1
USA,September,Emirates,1845087,4
USA,September,Qatar Airways,1877171,1
USA,September,Turkish Airlines,1646236,2
USA,September,British Airways,1717833,1
USA,September,Lufthansa,2119398,5
USA,September,Air France,1640325,6
USA,September,KLM,1911168,6
USA,September,Delta Airlines,1657574,10
USA,September,United Airlines,1798466,6
USA,September,Virgin Atlantic,1799621,2
USA,September,Ethiopian Airlines,1789554,6
USA,September,Kenya Airways,2146280,5
USA,September,RwandAir,2053047,7
USA,September,South African Airways,1676737,7
USA,September,Air Canada,2016481,3
USA,September,Singapore Airlines,2146549,7
USA,September,Etihad Airways,2165802,9
USA,September,Saudi Airlines,2143581,7
USA,September,EgyptAir,1744049,3
USA,September,Royal Air Maroc,1762601,9
USA,September,American Airlines,1757587,7
USA,September,Cathay Pacific,2087439,6
USA,September,Japan Airlines,1921995,12
USA,September,Malaysia Airlines,2049671,11
USA,September,Thai Airways,1862563,6
USA,September,Air India,1841220,4
USA,September,Brussels Airlines,1695094,4
USA,September,Swiss Air,1940614,6
USA,September,Finnair,2092923,12
USA,September,Austrian Airlines,2177815,6
USA,October,Emirates,2096871,1
USA,October,Qatar Airways,1725109,7
USA,October,Turkish Airlines,1930180,2
USA,October,British Airways,1885521,1
USA,October,Lufthansa,1708373,4
USA,October,Air France,1748683,11
USA,October,KLM,1639989,2
USA,October,Delta Airlines,2107290,1
USA,October,United Airlines,1874083,12
USA,October,Virgin Atlantic,1924020,10
USA,October,Ethiopian Airlines,2071939,11
USA,October,Kenya Airways,1771545,11
USA,October,RwandAir,1807678,3
USA,October,South African Airways,1680309,1
USA,October,Air Canada,1690235,11
USA,October,Singapore Airlines,2103227,10
USA,October,Etihad Airways,1939354,4
USA,October,Saudi Airlines,1754877,9
USA,October,EgyptAir,2007861,5
USA,October,Royal Air Maroc,1937663,8
USA,October,American Airlines,2033292,12
USA,October,Cathay Pacific,2001742,6
USA,October,Japan Airlines,1734813,10
USA,October,Malaysia Airlines,1695574,9
USA,October,Thai Airways,2161433,11
USA,October,Air India,1808715,8
USA,October,Brussels Airlines,1889269,7
USA,October,Swiss Air,1952748,8
USA,October,Finnair,1801420,1
USA,October,Austrian Airlines,1717344,7
USA,November,Emirates,2116786,8
USA,November,Qatar Airways,1859664,10
USA,November,Turkish Airlines,2062471,12
USA,November,British Airways,1854998,7
USA,November,Lufthansa,1877001,6
USA,November,Air France,1770079,8
USA,November,KLM,2030916,12
USA,November,Delta Airlines,1994585,8
USA,November,United Airlines,1773447,2
USA,November,Virgin Atlantic,1920963,4
USA,November,Ethiopian Airlines,1914208,11
USA,November,Kenya Airways,2102557,4
USA,November,RwandAir,1907938,3
USA,November,South African Airways,2114221,1
USA,November,Air Canada,2122398,5
USA,November,Singapore Airlines,1987993,11
USA,November,Etihad Airways,2106435,2
USA,November,Saudi Airlines,1996799,9
USA,November,EgyptAir,1915670,4
USA,November,Royal Air Maroc,1998494,12
USA,November,American Airlines,2004666,6
USA,November,Cathay Pacific,1938462,7
USA,November,Japan Airlines,1671524,6
USA,November,Malaysia Airlines,1942122,6
USA,November,Thai Airways,1875717,9
USA,November,Air India,1653808,4
USA,November,Brussels Airlines,1834506,7
USA,November,Swiss Air,2157375,1
USA,November,Finnair,1669569,10
USA,November,Austrian Airlines,1687236,8
USA,December,Emirates,2506689,7
USA,December,Qatar Airways,2289380,1
USA,December,Turkish Airlines,2784918,9
USA,December,British Airways,2626167,7
USA,December,Lufthansa,2609325,1
USA,December,Air France,2475048,12
USA,December,KLM,3094460,11
USA,December,Delta Airlines,2671331,7
USA,December,United Airlines,2983613,3
USA,December,Virgin Atlantic,2438833,10
USA,December,Ethiopian Airlines,2745187,1
USA,December,Kenya Airways,2691912,1
USA,December,RwandAir,2851502,12
USA,December,South African Airways,2157443,7
USA,December,Air Canada,2727848,10
USA,December,Singapore Airlines,2237298,5
USA,December,Etihad Airways,2292505,12
USA,December,Saudi Airlines,2767531,10
USA,December,EgyptAir,2557987,1
USA,December,Royal Air Maroc,2576696,7
USA,December,American Airlines,2776772,11
USA,December,Cathay Pacific,2159929,5
USA,December,Japan Airlines,2827504,10
USA,December,Malaysia Airlines,2456979,9
USA,December,Thai Airways,2353729,5
USA,December,Air India,2664023,5
USA,December,Brussels Airlines,2617721,5
USA,December,Swiss Air,3011250,2
USA,December,Finnair,3053886,11
USA,December,Austrian Airlines,2613961,10
Canada,January,Emirates,2022919,5
Canada,January,Qatar Airways,2297499,2
Canada,January,Turkish Airlines,2483604,6
Canada,January,British Airways,2659050,8
Canada,January,Lufthansa,2601538,1
Canada,January,Air France,2295121,12
Canada,January,KLM,2042804,6
Canada,January,Delta Airlines,2718726,11
Canada,January,United Airlines,2579620,10
Canada,January,Virgin Atlantic,2211071,5
Canada,January,Ethiopian Airlines,1940204,5
Canada,January,Kenya Airways,1905820,6
Canada,January,RwandAir,2265792,2
Canada,January,South African Airways,2735006,9
Canada,January,Air Canada,2104575,10
Canada,January,Singapore Airlines,1961100,11
Canada,January,Etihad Airways,2117175,8
Canada,January,Saudi Airlines,2080288,10
Canada,January,EgyptAir,1979936,1
Canada,January,Royal Air Maroc,2704468,8
Canada,January,American Airlines,2047589,7
Canada,January,Cathay Pacific,2172646,2
Canada,January,Japan Airlines,2226292,7
Canada,January,Malaysia Airlines,2074979,2
Canada,January,Thai Airways,2705393,10
Canada,January,Air India,2495110,10
Canada,January,Brussels Airlines,2075601,9
Canada,January,Swiss Air,2103488,8
Canada,January,Finnair,2374074,3
Canada,January,Austrian Airlines,2135892,9
Canada,February,Emirates,2367322,5
Canada,February,Qatar Airways,2144102,2
Canada,February,Turkish Airlines,2477759,6
Canada,February,British Airways,2214449,7
Canada,February,Lufthansa,2099321,8
Canada,February,Air France,2365856,5
Canada,February,KLM,2217867,9
Canada,February,Delta Airlines,2535103,8
Canada,February,United Airlines,2146042,10
Canada,February,Virgin Atlantic,2492196,3
Canada,February,Ethiopian Airlines,2755987,6
Canada,February,Kenya Airways,2086644,7
Canada,February,RwandAir,2248557,11
Canada,February,South African Airways,2359169,10
Canada,February,Air Canada,2142864,11
Canada,February,Singapore Airlines,2532466,8
Canada,February,Etihad Airways,2573712,1
Canada,February,Saudi Airlines,2719088,6
Canada,February,EgyptAir,2548045,11
Canada,February,Royal Air Maroc,2711475,5
Canada,February,American Airlines,2506509,5
Canada,February,Cathay Pacific,2133086,11
Canada,February,Japan Airlines,2374435,2
Canada,February,Malaysia Airlines,2404119,10
Canada,February,Thai Airways,2689238,7
Canada,February,Air India,2428615,5
Canada,February,Brussels Airlines,2189859,5
Canada,February,Swiss Air,2246797,10
Canada,February,Finnair,2236859,12
Canada,February,Austrian Airlines,2610478,7
Canada,March,Emirates,2490056,3
Canada,March,Qatar Airways,2380721,7
Canada,March,Turkish Airlines,2766570,4
Canada,March,British Airways,2524651,2
Canada,March,Lufthansa,2909370,5
Canada,March,Air France,2927008,2
Canada,March,KLM,2669087,8
Canada,March,Delta Airlines,2575300,1
Canada,March,United Airlines,2520768,5
Canada,March,Virgin Atlantic,2859145,5
Canada,March,Ethiopian Airlines,2906355,11
Canada,March,Kenya Airways,2926283,5
Canada,March,RwandAir,2532846,7
Canada,March,South African Airways,2740946,6
Canada,March,Air Canada,2216065,6
Canada,March,Singapore Airlines,2612108,4
Canada,March,Etihad Airways,2252893,2
Canada,March,Saudi Airlines,2856599,6
Canada,March,EgyptAir,2832549,8
Canada,March,Royal Air Maroc,2259351,11
Canada,March,American Airlines,2457273,12
Canada,March,Cathay Pacific,2838372,10
Canada,March,Japan Airlines,2418853,5
Canada,March,Malaysia Airlines,2813558,8
Canada,March,Thai Airways,2410820,5
Canada,March,Air India,2929475,8
Canada,March,Brussels Airlines,2285568,7
Canada,March,Swiss Air,2775129,11
Canada,March,Finnair,2209500,7
Canada,March,Austrian Airlines,2919780,4
Canada,April,Emirates,2556217,11
Canada,April,Qatar Airways,2705111,9
Canada,April,Turkish Airlines,2720291,3
Canada,April,British Airways,2320279,5
Canada,April,Lufthansa,2655743,8
Canada,April,Air France,2543725,2
Canada,April,KLM,2753285,2
Canada,April,Delta Airlines,2240549,7
Canada,April,United Airlines,2891676,7
Canada,April,Virgin Atlantic,2861871,8
Canada,April,Ethiopian Airlines,2539840,11
Canada,April,Kenya Airways,2722512,11
Canada,April,RwandAir,2766386,6
Canada,April,South African Airways,2202944,12
Canada,April,Air Canada,2490812,1
Canada,April,Singapore Airlines,2279989,3
Canada,April,Etihad Airways,2284199,12
Canada,April,Saudi Airlines,2550461,12
Canada,April,EgyptAir,2424449,9
Canada,April,Royal Air Maroc,2859158,6
Canada,April,American Airlines,2237235,2
Canada,April,Cathay Pacific,2929157,11
Canada,April,Japan Airlines,2682207,3
Canada,April,Malaysia Airlines,2385712,9
Canada,April,Thai Airways,2487499,5
Canada,April,Air India,2929183,10
Canada,April,Brussels Airlines,2764129,5
Canada,April,Swiss Air,2211250,10
Canada,April,Finnair,2235372,4
Canada,April,Austrian Airlines,2809319,9
Canada,May,Emirates,2384165,12
Canada,May,Qatar Airways,2823651,12
Canada,May,Turkish Airlines,2731791,6
Canada,May,British Airways,2375577,1
Canada,May,Lufthansa,2787044,7
Canada,May,Air France,2841059,7
Canada,May,KLM,2533764,5
Canada,May,Delta Airlines,2662679,7
Canada,May,United Airlines,2229531,9
Canada,May,Virgin Atlantic,2412763,3
Canada,May,Ethiopian Airlines,2700137,9
Canada,May,Kenya Airways,2503304,3
Canada,May,RwandAir,2905437,12
Canada,May,South African Airways,2703309,1
Canada,May,Air Canada,2540250,5
Canada,May,Singapore Airlines,2755088,7
Canada,May,Etihad Airways,2535960,12
Canada,May,Saudi Airlines,2297934,9
Canada,May,EgyptAir,2639997,8
Canada,May,Royal Air Maroc,2767806,6
Canada,May,American Airlines,2714377,3
Canada,May,Cathay Pacific,2910244,3
Canada,May,Japan Airlines,2385922,8
Canada,May,Malaysia Airlines,2331010,1
Canada,May,Thai Airways,2516382,12
Canada,May,Air India,2909745,7
Canada,May,Brussels Airlines,2231066,3
Canada,May,Swiss Air,2875603,3
Canada,May,Finnair,2671808,10
Canada,May,Austrian Airlines,2758422,12
Canada,June,Emirates,2373279,5
Canada,June,Qatar Airways,2635003,7
Canada,June,Turkish Airlines,2294591,11
Canada,June,British Airways,2596636,5
Canada,June,Lufthansa,2271723,7
Canada,June,Air France,2200052,8
Canada,June,KLM,2777380,9
Canada,June,Delta Airlines,2685043,4
Canada,June,United Airlines,2710431,7
Canada,June,Virgin Atlantic,2611215,4
Canada,June,Ethiopian Airlines,2247747,9
Canada,June,Kenya Airways,2624520,6
Canada,June,RwandAir,2578894,6
Canada,June,South African Airways,2680564,9
Canada,June,Air Canada,2765423,12
Canada,June,Singapore Airlines,2853151,9
Canada,June,Etihad Airways,2280313,11
Canada,June,Saudi Airlines,2644673,8
Canada,June,EgyptAir,2368073,11
Canada,June,Royal Air Maroc,2885743,12
Canada,June,American Airlines,2278664,4
Canada,June,Cathay Pacific,2253404,1
Canada,June,Japan Airlines,2906976,12
Canada,June,Malaysia Airlines,2530350,3
Canada,June,Thai Airways,2911511,9
Canada,June,Air India,2842810,12
Canada,June,Brussels Airlines,2719798,8
Canada,June,Swiss Air,2560505,10
Canada,June,Finnair,2333890,12
Canada,June,Austrian Airlines,2564712,8
Canada,July,Emirates,3300376,6
Canada,July,Qatar Airways,3934263,2
Canada,July,Turkish Airlines,3237767,12
Canada,July,British Airways,3356493,5
Canada,July,Lufthansa,3421911,3
Canada,July,Air France,3956781,6
Canada,July,KLM,3750725,5
Canada,July,Delta Airlines,3175120,2
Canada,July,United Airlines,3287152,9
Canada,July,Virgin Atlantic,2750990,1
Canada,July,Ethiopian Airlines,3100036,4
Canada,July,Kenya Airways,2752016,4
Canada,July,RwandAir,3975745,10
Canada,July,South African Airways,3906443,6
Canada,July,Air Canada,3247866,12
Canada,July,Singapore Airlines,3178810,8
Canada,July,Etihad Airways,3708699,11
Canada,July,Saudi Airlines,3642852,8
Canada,July,EgyptAir,4118495,6
Canada,July,Royal Air Maroc,3098416,7
Canada,July,American Airlines,3092477,5
Canada,July,Cathay Pacific,3145102,8
Canada,July,Japan Airlines,2817624,11
Canada,July,Malaysia Airlines,3272919,5
Canada,July,Thai Airways,3395631,1
Canada,July,Air India,3413216,11
Canada,July,Brussels Airlines,3832666,10
Canada,July,Swiss Air,3774877,6
Canada,July,Finnair,3997026,2
Canada,July,Austrian Airlines,3445483,8
Canada,August,Emirates,3517052,1
Canada,August,Qatar Airways,3291172,1
Canada,August,Turkish Airlines,3373089,2
Canada,August,British Airways,3428319,8
Canada,August,Lufthansa,3519838,12
Canada,August,Air France,3501668,5
Canada,August,KLM,3633476,5
Canada,August,Delta Airlines,3361519,3
Canada,August,United Airlines,3635165,12
Canada,August,Virgin Atlantic,3089459,6
Canada,August,Ethiopian Airlines,3446451,10
Canada,August,Kenya Airways,3694385,12
Canada,August,RwandAir,3596436,4
Canada,August,South African Airways,3269960,5
Canada,August,Air Canada,4278984,6
Canada,August,Singapore Airlines,3371667,4
Canada,August,Etihad Airways,3637465,11
Canada,August,Saudi Airlines,3849210,10
Canada,August,EgyptAir,3121745,12
Canada,August,Royal Air Maroc,4153799,7
Canada,August,American Airlines,3649549,11
Canada,August,Cathay Pacific,2977940,1
Canada,August,Japan Airlines,3945276,12
Canada,August,Malaysia Airlines,2862857,1
Canada,August,Thai Airways,4237964,2
Canada,August,Air India,3438438,4
Canada,August,Brussels Airlines,3368401,5
Canada,August,Swiss Air,3134645,9
Canada,August,Finnair,3230071,12
Canada,August,Austrian Airlines,3083660,8
Canada,September,Emirates,2341522,11
Canada,September,Qatar Airways,2429432,6
Canada,September,Turkish Airlines,2690599,11
Canada,September,British Airways,2210289,9
Canada,September,Lufthansa,2272521,8
Canada,September,Air France,2804001,5
Canada,September,KLM,2538943,1
Canada,September,Delta Airlines,2320483,12
Canada,September,United Airlines,2872724,5
Canada,September,Virgin Atlantic,2772230,1
Canada,September,Ethiopian Airlines,2845186,2
Canada,September,Kenya Airways,2207769,1
Canada,September,RwandAir,2405745,10
Canada,September,South African Airways,2530026,10
Canada,September,Air Canada,2338436,12
Canada,September,Singapore Airlines,2725057,7
Canada,September,Etihad Airways,2802162,8
Canada,September,Saudi Airlines,2271052,12
Canada,September,EgyptAir,2915462,11
Canada,September,Royal Air Maroc,2607992,3
Canada,September,American Airlines,2571681,1
Canada,September,Cathay Pacific,2732208,9
Canada,September,Japan Airlines,2253600,2
Canada,September,Malaysia Airlines,2822873,9
Canada,September,Thai Airways,2357251,2
Canada,September,Air India,2608827,12
Canada,September,Brussels Airlines,2846106,11
Canada,September,Swiss Air,2794082,3
Canada,September,Finnair,2788848,3
Canada,September,Austrian Airlines,2703595,1
Canada,October,Emirates,2688318,6
Canada,October,Qatar Airways,2736030,1
Canada,October,Turkish Airlines,2780851,1
Canada,October,British Airways,2752967,9
Canada,October,Lufthansa,2266056,12
Canada,October,Air France,2491299,3
Canada,October,KLM,2449247,12
Canada,October,Delta Airlines,2458230,9
Canada,October,United Airlines,2920210,6
Canada,October,Virgin Atlantic,2425933,3
Canada,October,Ethiopian Airlines,2582391,3
Canada,October,Kenya Airways,2641550,4
Canada,October,RwandAir,2357084,1
Canada,October,South African Airways,2550561,7
Canada,October,Air Canada,2786159,12
Canada,October,Singapore Airlines,2253712,9
Canada,October,Etihad Airways,2597176,3
Canada,October,Saudi Airlines,2701282,11
Canada,October,EgyptAir,2370549,11
Canada,October,Royal Air Maroc,2494193,11
Canada,October,American Airlines,2387282,11
Canada,October,Cathay Pacific,2856668,6
Canada,October,Japan Airlines,2418833,2
Canada,October,Malaysia Airlines,2447977,10
Canada,October,Thai Airways,2237875,4
Canada,October,Air India,2845411,10
Canada,October,Brussels Airlines,2628030,10
Canada,October,Swiss Air,2347857,8
Canada,October,Finnair,2517923,4
Canada,October,Austrian Airlines,2225528,4
Canada,November,Emirates,2566442,5
Canada,November,Qatar Airways,2485855,6
Canada,November,Turkish Airlines,2229091,7
Canada,November,British Airways,2609152,4
Canada,November,Lufthansa,2290442,8
Canada,November,Air France,2811762,7
Canada,November,KLM,2608802,6
Canada,November,Delta Airlines,2803015,12
Canada,November,United Airlines,2588796,9
Canada,November,Virgin Atlantic,2499648,3
Canada,November,Ethiopian Airlines,2884243,8
Canada,November,Kenya Airways,2244221,12
Canada,November,RwandAir,2295331,3
Canada,November,South African Airways,2851503,3
Canada,November,Air Canada,2672835,7
Canada,November,Singapore Airlines,2325504,2
Canada,November,Etihad Airways,2266365,2
Canada,November,Saudi Airlines,2835784,9
Canada,November,EgyptAir,2493752,2
Canada,November,Royal Air Maroc,2899200,4
Canada,November,American Airlines,2346950,6
Canada,November,Cathay Pacific,2788068,8
Canada,November,Japan Airlines,2718520,10
Canada,November,Malaysia Airlines,2848612,12
Canada,November,Thai Airways,2709331,9
Canada,November,Air India,2370249,9
Canada,November,Brussels Airlines,2477119,2
Canada,November,Swiss Air,2864173,2
Canada,November,Finnair,2200943,5
Canada,November,Austrian Airlines,2420685,11
Canada,December,Emirates,3132637,10
Canada,December,Qatar Airways,3806349,1
Canada,December,Turkish Airlines,3100612,10
Canada,December,British Airways,4108875,5
Canada,December,Lufthansa,2825675,6
Canada,December,Air France,3851293,9
Canada,December,KLM,4090716,3
Canada,December,Delta Airlines,2836594,10
Canada,December,United Airlines,3563447,11
Canada,December,Virgin Atlantic,3190070,12
Canada,December,Ethiopian Airlines,3580244,6
Canada,December,Kenya Airways,3594615,1
Canada,December,RwandAir,3591401,10
Canada,December,South African Airways,3416083,6
Canada,December,Air Canada,3556999,11
Canada,December,Singapore Airlines,3619338,5
Canada,December,Etihad Airways,3489767,3
Canada,December,Saudi Airlines,3340845,1
Canada,December,EgyptAir,3787709,5
Canada,December,Royal Air Maroc,4066764,4
Canada,December,American Airlines,3985096,10
Canada,December,Cathay Pacific,2910256,4
Canada,December,Japan Airlines,3888002,10
Canada,December,Malaysia Airlines,3310688,1
Canada,December,Thai Airways,3948367,12
Canada,December,Air India,4007265,10
Canada,December,Brussels Airlines,3446405,5
Canada,December,Swiss Air,3048855,6
Canada,December,Finnair,3436451,3
Canada,December,Austrian Airlines,3578048,12
United Kingdom,January,Emirates,1884140,5
United Kingdom,January,Qatar Airways,1899353,11
United Kingdom,January,Turkish Airlines,1880530,9
United Kingdom,January,British Airways,1867719,11
United Kingdom,January,Lufthansa,1967022,7
United Kingdom,January,Air France,1940436,5
United Kingdom,January,KLM,2074558,5
United Kingdom,January,Delta Airlines,1757784,3
United Kingdom,January,United Airlines,1690373,3
United Kingdom,January,Virgin Atlantic,1659722,8
United Kingdom,January,Ethiopian Airlines,1886160,3
United Kingdom,January,Kenya Airways,1889832,4
United Kingdom,January,RwandAir,1971733,3
United Kingdom,January,South African Airways,1648362,5
United Kingdom,January,Air Canada,1637042,8
United Kingdom,January,Singapore Airlines,2068351,11
United Kingdom,January,Etihad Airways,1908155,4
